,Features,Logistic regression,Random Forest,XGBoosting
education_high school,education_high school,0.27012054393585566,0.0028106501568049102,0.0023876951726774505
marriage_married,marriage_married,0.1397754066603824,0.004297728261175852,0.007648323419375757
marriage_single,marriage_single,0.054860347061060986,0.005306334983465611,0.0016688274239525687
education_graduate school,education_graduate school,0.5267523527002295,0.00535466192920017,0.004926260491286003
sex,sex,0.03539906870033493,0.005903821573786293,0.006510239084958725
education_university,education_university,0.5260187336820402,0.007399358590884667,0.0059007332934868225
age,age,0.033808047754871624,0.013143052882241909,0.013876875880062768
bill_amt_Jul,bill_amt_Jul,0.1430312929008281,0.02548501098334299,0.01480714675685286
bill_amt_Apr,bill_amt_Apr,0.023082046740798567,0.026958740393523514,0.017464733167099507
pay_Apr,pay_Apr,0.002699736063205139,0.027942757805719087,0.023562154612043976
bill_amt_May,bill_amt_May,0.0360070482620201,0.02798349479963222,0.014246484241677017
bill_amt_Jun,bill_amt_Jun,0.04308256332667241,0.028129217323843263,0.010673461682390124
bill_amt_Aug,bill_amt_Aug,0.0034667735913915887,0.03265631079705871,0.024034098411036115
pay_May,pay_May,0.0071308569159411585,0.03691368998926203,0.03195757306889501
pay_amt_May,pay_amt_May,0.012470385774073037,0.04116018148166664,0.023504254586309593
pay_Jun,pay_Jun,0.02703997268519388,0.049113185700774845,0.03774856880596073
pay_amt_Jun,pay_amt_Jun,0.04302278246504749,0.050167292079766695,0.023785930426069742
bill_amt_Sep,bill_amt_Sep,0.24797521535807937,0.05202921544072596,0.055336268673710415
pay_amt_Apr,pay_amt_Apr,0.02241538583873993,0.05464434072588193,0.03444062758807408
pay_Jul,pay_Jul,0.0499735201701319,0.06873590560964907,0.06585123751559165
pay_amt_Jul,pay_amt_Jul,0.006743027591034894,0.07154350629128231,0.04349710060081835
pay_amt_Aug,pay_amt_Aug,0.09444279818761554,0.0849645946417911,0.05441855372349275
pay_amt_Sep,pay_amt_Sep,0.06262673804238263,0.08992885234990552,0.0500554980936227
pay_Aug,pay_Aug,0.048689107598608866,0.12014302443299456,0.0938313281287628
limit_bal,limit_bal,0.09539849855717594,0.1371214619212063,0.1007300021127666
pay_Sep,pay_Sep,0.44637094595926063,0.3112688156342131,0.26409881004368435
